GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
530,694ETH,32839,19/10/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Fafan,Jijiga,Jijiga,9.35000,42.80000,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,5
530,695ETH,32840,20/10/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Jarar,Aware,Aware,8.25611,44.15667,1,BBC Monitoring,ONLF attacks Ethiopian soldiers,2
530,696ETH,32841,20/10/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Korahe,Shekosh,Landher,7.23330,44.20000,1,BBC Monitoring,ONLF attacks Ethiopian soldiers,2
530,697ETH,32842,21/10/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Fafan,Gursum,Gebegebo,9.31972,42.56000,1,BBC Monitoring,ONLF attacks Ethiopian soldiers,3
530,698ETH,32843,26/10/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Liben,Dolo Odo,Dolo Odo,4.17860,42.05890,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,3
530,699ETH,32844,31/10/2003,2003,1,Violence against civilians,Unidentified Ethnic Militia (Ethiopia),,4,Civilians (Kenya),,7,47,Ethiopia,Oromia,Borena,Moyale,Anan,3.53330,39.05000,3,BBC Monitoring,"3 people were killed by unidentified bandits from Ethiopia - they appeared to be wearing military uniform. Several others were abducted by the attackers. LOCATION: Anan Village, Moyale District (district capital = Moyale)",3
530,700ETH,32845,05/11/2003,2003,2,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Fafan,Jijiga,Wiji-Waji,9.26056,42.93806,1,BBC Monitoring,ONLF attacks Ethiopian soldiers,4
530,701ETH,32846,05/11/2003,2003,2,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Korahe,Shekosh,Shekosh,7.36667,43.91667,1,BBC Monitoring,ONLF attacks Ethiopian soldiers,4
530,702ETH,32847,14/11/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Mirab Hararghe,Doba,Erer Tiqa,9.20000,41.00000,1,BBC Monitoring,OLF attacks Ethiopian troops,9
530,703ETH,32848,15/11/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ARDUF: Afar Revolutionary Democratic Unity Front,,3,13,Ethiopia,Somali,Liben,Dolo Odo,Afar Dogut,4.48330,41.03330,2,BBC Monitoring,Afar rebel group drives back advancing government troops,0
530,704ETH,32849,23/11/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Oromia,Kelem Wellega,Dale Wabera,Garbo,9.03330,35.05000,1,BBC Monitoring,ONLF attacks Ethiopian soldiers,15
530,705ETH,32850,23/11/2003,2003,2,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Korahe,Kebridehar,Korahe,6.61528,44.34056,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,8
530,706ETH,32851,23/11/2003,2003,2,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Somali,Korahe,Kebridehar,Korahe,6.61528,44.34056,2,BBC Monitoring,Ethiopian troops attack civilians,0
530,709ETH,32852,28/11/2003,2003,2,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Doolo,Warder,Warder,6.97444,45.34083,2,BBC Monitoring,Ethiopian troops attack civilians,9
530,708ETH,32853,28/11/2003,2003,1,Battle-No change of territory,Gura Ethnic Militia (Ethiopia),,4,Dawe Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Bale,Goro,Goro,6.98333,40.50000,2,BBC Monitoring,Ethnic clashes between Gura and Dawe clans,0
530,707ETH,32854,28/11/2003,2003,2,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Jarar,Aware,Aware,8.25611,44.15667,1,BBC Monitoring,ONLF attacks Ethiopian soldiers,30
530,710ETH,32855,29/11/2003,2003,1,Battle-No change of territory,Gura Ethnic Militia (Ethiopia),,4,Dawe Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Bale,Goro,Goro,6.98333,40.50000,2,BBC Monitoring,Ethnic clashes between Gura and Dawe clans,0
530,711ETH,32856,30/11/2003,2003,1,Battle-No change of territory,Gura Ethnic Militia (Ethiopia),,4,Dawe Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Bale,Goro,Goro,6.98333,40.50000,2,BBC Monitoring,Ethnic clashes between Gura and Dawe clans,0
530,712ETH,32857,01/12/2003,2003,1,Battle-No change of territory,Gura Ethnic Militia (Ethiopia),,4,Dawe Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Bale,Goro,Goro,6.98333,40.50000,2,BBC Monitoring,Ethnic clashes between Gura and Dawe clans,0
530,713ETH,32858,02/12/2003,2003,1,Battle-No change of territory,Gura Ethnic Militia (Ethiopia),,4,Dawe Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Bale,Goro,Goro,6.98333,40.50000,2,BBC Monitoring,Ethnic clashes between Gura and Dawe clans,0
530,714ETH,32859,03/12/2003,2003,1,Battle-No change of territory,Gura Ethnic Militia (Ethiopia),,4,Dawe Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Bale,Goro,Goro,6.98333,40.50000,2,BBC Monitoring,Ethnic clashes between Gura and Dawe clans,0
530,716ETH,32860,04/12/2003,2003,1,Battle-No change of territory,Gura Ethnic Militia (Ethiopia),,4,Dawe Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Bale,Goro,Goro,6.98333,40.50000,2,BBC Monitoring,Ethnic clashes between Gura and Dawe clans,0
530,715ETH,32861,04/12/2003,2003,2,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Misraq Harerge,Babile,Dandama,9.21700,42.33300,1,BBC Monitoring,OLF attacks Ethiopian troops,14
530,717ETH,32862,05/12/2003,2003,1,Battle-No change of territory,Gura Ethnic Militia (Ethiopia),,4,Dawe Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Bale,Goro,Goro,6.98333,40.50000,2,BBC Monitoring,Ethnic clashes between Gura and Dawe clans,0
530,718ETH,32863,06/12/2003,2003,1,Battle-No change of territory,Gura Ethnic Militia (Ethiopia),,4,Dawe Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Bale,Goro,Goro,6.98333,40.50000,2,BBC Monitoring,"Ethnic clashes between Gura and Dawe clans, 40 Gura and 15 Dawe killed over nine days",55
