,index,EVENT_ID_NO_CNTY,Date,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
444,444,32608,6/20/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,Reuters,335 people have been killed in 6 days of fighting between OLF and EDF forces.,59
445,445,32609,6/20/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Abobo,Abobo,7.85,34.55,1,"BBC Monitoring, 6/25/2002",OLF attacks Ethiopian troops,215
446,446,32610,6/20/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Bale,Goba,Ija Wadesa,6.9333,40.15,1,"BBC Monitoring, 7/3/2002",OLF attacks Ethiopian troops,15
447,447,32611,6/20/2002,2002,1,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.22056,43.55722,2,"BBC Monitoring, 6/26/2002",Ethiopian soldiers retaliate against innocent civilians after battles with ONLF,0
448,448,32612,6/21/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,Reuters,335 people have been killed in 6 days of fighting between OLF and EDF forces.,58
449,449,32613,6/21/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,2,"BBC Monitoring, 6/25/2002",OLF attacks Ethiopian troops,120
450,450,32614,6/21/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Amhara,Semen Wello,Guba Lafto,Oromo,11.8667,39.7333,2,"Factiva - Reuters, AFP",The OLF claim to have killed 300 EDF soldiers in sustained fighting over the last number of weeks. No independent confirmation.,300
451,451,32615,6/22/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,Reuters,335 people have been killed in 6 days of fighting between OLF and EDF forces.,58
452,452,32616,6/22/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Mirab Welega,Gudetu Kondole,Gara Arba,9.3833,34.8333,2,Factiva - BBC Monitoring,"Gara Arba is a mountain in the ACLED database. The location given in the report is Guma, Gara Arba, Gesbi.",43
453,453,32617,6/22/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Abobo,Abobo,7.85,34.55,1,"BBC Monitoring, 6/25/2002",OLF attacks Ethiopian troops,0
454,454,32618,6/22/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Mirab Shewa,Adda Berga,Guma-Gara Arba,9.53333,38.38333,1,"BBC Monitoring, 7/3/2002",OLF attacks Ethiopian troops,0
455,455,32619,6/22/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Harari People,Hareri,Harar,Karchalle,9.3167,42.1167,1,"BBC Monitoring, 7/3/2002",OLF attacks Ethiopian troops,3
456,456,32620,6/23/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,Reuters,335 people have been killed in 6 days of fighting between OLF and EDF forces.,58
457,457,32621,6/23/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Abobo,Abobo,7.85,34.55,1,"BBC Monitoring, 6/25/2002",OLF attacks Ethiopian troops,175
458,458,32622,6/24/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,Reuters,335 people have been killed in 6 days of fighting between OLF and EDF forces.,58
459,459,32623,6/24/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Mirab Shewa,Adda Berga,Guma-Gara Arba,9.53333,38.38333,1,"BBC Monitoring, 7/3/2002",OLF attacks Ethiopian troops,43
